도서명,저자,카테고리,내용
루트비히와 코뿔소,노에미 슈나이더,"철학, 상상력","잠들기 전 루트비히가 방에 코뿔소가 있다고 주장하자, 아빠는 루트비히가 말하는 곳마다 찾아보지만 결국 찾지 못하고 코뿔소가 방에 있을 수 없는 이유를 댄다. 그러나 루트비히는 영리한 질문을 던지는데…. 어린이의 상상력과 어른의 논리가 부딪치며 만들어내는 질문과 대화는 ‘철학’은 즐거운 사고의 모험임을 보여 주며 ‘철학’ 해 보기를 권한다."
마루 탐정! 우리 집을 찾아 줘,정유리,"과학·자연, 가족·우정",몽구는 길가에 버려진 강아지입니다. 누구보다 더 간절히 가족을 찾는 몽구의 마음을 알게 된 마루는 몽구 가족을 찾기 위해 찾아간 경비 아저씨에게 몽구가 얼마나 방치되어 왔는지를 듣는다. 이 말을 함께 듣는 몽구가 상처받지 않을지 걱정한다. 마루의 이런 마음이 반려동물을 가족으로 받아들이는 마음이 아닐까? 생각하게 하는 책이다.
마법 소녀 루오카1-6권 세트,미야시타 에마,"상상력, 가족·우정","평범한 소녀와 마법을 싫어하는 천재 마법 소녀의 우정과 성장 이야기! 두 소녀의 꿈과 우정, 성장을 그린 판타지 소설 <마법 소녀 루오카>는 어린 독자들에게 용기와 자신감을, 그리고 꿈을 향한 모험을 선물할 것이다. 또한 화려한 마법 세계와 독특한 설정으로 독자들을 매료시킬 것이다."
마법의 파란 우산,에밀리 앤 데이비슨,"상상력, 가족·우정, 사회·정의","집 앞에 놓인 의문의 우산. 갑자기 쏟아지는 빗방울 속에서 그 우산을 다른 사람과 나눠 쓰자, 놀라운 마법이 일어난다. 나눌수록 더 커지는 공동체 정신에 관한 이야기."
마법의 호박,필라르 세라노,"상상력, 가족·우정",가난하지만 마음 착한 두 가족. 어느 날 폭풍우를 맞고 있는 할머니를 도와준다. 할머니는 감사의 표시로 마법의 호박을 각각 선물로 주며 슬기롭게 쓰라고 충고한다. 호박을 어떻게 사용할 것인가? 두 가족은 서로 다른 선택을 하는데...
마시멜로 맛집,한재숙,"가족·우정, 과학·자연","도시에서 태어나고 자라는 어린이들에게 자연만이 줄 수 있는 안정감과 자유로움, 삶의 지혜들을 느끼게 해 주기 위해 사계절 자연의 변화와 아름다움을 수채화처럼 담백하게 그려낸 동시집."
마음 기입장,김진형,"공감·다양성, 가족·우정, 철학, 성장","배려와 감사가 주제인 동화! 은샘이는 얼마 전 태어난 늦둥이 동생에게 엄마, 아빠의 관심과 사랑을 빼앗겼다고 생각한다. 게다가 단짝 친구가 되고 싶은 민채를 서율이에게 빼앗길 것 같아 노심초사한다. 좋은 일보다는 나쁜 일이 많은 은샘이에게 무슨 일이 일어날까?"
"마음꽃이 피었습니다,",다카하시 사키,"철학, 성장, 과학·자연","여러 가지 감정을 꽃으로 시각화한, 차분한 꽃집같은 그림책. 스스로의 감정을 관찰하고 수용하는 과정이 중요하고, 자신의 감정을 제때 잘 인식하고 발산하는 것이야 말로 마음을 건강하게 키우는 방법이라고 전한다. 온전히 독립적인 감정이란 없고, 감정은 서로 영향을 주고받으며 융합하거나 다른 감정을 유발하기도 한다는 점을 알기 쉽게 보여 준다."
마음두꺼비약국,임은정,"성장, 철학, 가족·우정, 용기·리더십","마음에 구멍이 난 백영이가 마음 두꺼비 약국에서 두꺼비 약사를 만나 다친 마음에 맞는 밴드를 찾아가는 과정을 그린 동화. 두꺼비 캐릭터를 새롭게 불러내 독자들에게 익숙하면서 신선한 재미를 선사한다. 독자들은 작품 속 주인공에게 어울리는 밴드를 함께 고민하는 한편, 자신의 마음 속 상처에 대해서도 생각해 볼 수 있다. 마음이 단단하게 하는 책이다."
마음마트,자현,"성장, 철학","어린이들이 재미있게 읽을 수 있는 컷 만화 형식의 그림책 《마음마트》에는 학교생활과 일상에서 마주치는 다양한 관계와 상황에 따른 아이들의 감정이 모두 담겨 있다. 동음이의어, 다의어를 활용한 말놀이로 문해력 향상은 기본, 재미와 웃음은 보너스다. 알쏭달쏭, 싱숭생숭, 가지가지 하는 마음을 해결해 주는 ‘소품’으로 가득한 ‘마음마트’로 놀러 가자."
마음의 눈,하이거우팡둥,"공감·다양성, 사회·정의, 예술, 철학",아이는 어른의 눈에 어리고 어른은 노인의 눈에 어리다. 그런 노인도 그보다 오래 산 거북이에게는 어리게 보일 뿐이다. 새로움과 오래됨은 겉으로 보이는 것만을 뜻하지 않는다. 모든 것은 오래됐음에도 불구하고 새롭다. 아이의 눈을 통해 마음의 눈을 배워보자!
"마음이 예뻐지는 백석 동시, 따라 쓰는 짝꿍시",백석,"예술, 철학","백석은 우리 시인들이 가장 사랑하는 시인으로 꼽힌다. 윤동주도 백석의 시를 따라 쓰며 꿈을 키웠다고 한다. 백석은 재미있는 의성어와 의태어, 감각적인 우리말을 구사해 간결하고 리듬 있는 문장으로 재미있는 이야기를 동시로 담아낸 ‘동화 시’라는 독특한 형식을 만들었다. 백석의 동화 시와 재미있는 동시를 따라 쓰며 어린 시인이 되어보자."
마침표 꼭 찍어야 돼요?,김민영,"상상력, 예술","받아쓰기에서 맞춤법, 띄어쓰기를 다 맞게 썼는데도 세모를 받았다고요? 마침표를 안 찍어서? 마침표, 꼭 찍어야 하냐고요? 물론입니다! 『마침표 꼭 찍어야 돼요?』에서는 약 20가지 문장 부호와 함께 온라인상의 기호, 생활 속 기호, 교정 기호까지 온 세상 기호를 가득 모아 다채롭게 담았습니다. 문장 부호를 다룬 첫 어린이 책입니다."
만약에 어느 날…,브루스 핸디,"상상력, 철학","『만약에 어느 날…』 속 질문들을 읽으며 아이들과 함께 이어질 다음 장면을 상상해 보자. 우리의 일상을 가득 채우던 존재들이 사라졌다는 상상은, 가상의 상황을 가정해 보며 사고를 뻗어 나갈 기회를 준다. 아이들은 ‘사라진다’라는 변화가 우리의 생활에 어떤 영향을 끼칠지 그려 보면서 ‘지금, 이 순간’의 소중함을 새롭게 느낄 수 있다."
말더듬이 악어의 멋진 연설,파브리지오 실레이,"성장, 가족·우정","어떤 문제를 바라보는 다양한 관점, 그 문제를 해결하려는 다양한 방식을 통해 우리가 얼마나 다르고 소통하기 어려운 존재인지 잘 드러내면서도 그럼에도 불구하고 다른 시각과 다른 방식을 가진 서로가 소통하려면 무엇이 중요한지 질문하고 생각하도록 안내합니다."
"매일, 살림",김지혜,"가족·우정, 성장","그릇과 빨래와 먼지와 너와 내가 만들어 가는 오늘의 멜로디, 매일, 살림. 소복소복 소리 없이 오늘의 살림이 쌓이고, 하루를 소중히 여기는 우리의 마음이 빛난다."
매일매일 ㅎㅎㅎ,최형미,"성장, 가족·우정","이연이와 지석이는 하루 차이로 태어나 함께 자란 단짝 친구입니다. 게다가 같은 초등학교 같은 반에 입학하게 되었지요. 그런데 초등학교에 들어가면 남자는 남자끼리, 여자는 여자끼리 놀아야 한대요. 이연이랑 지석이 사이는 정말 달라져야 하는 걸까요? 매일매일 싸우고 화해하며, 서로의 차이와 다름을 인정하고 조금씩 받아들면서 ‘진짜 친구’로 성장해 가는 이야기!"
맨처음 식물공부,안도현,"과학·자연, 가족·우정","안도현 시인이 식물 이야기를 들려주는 다정한 할아버지로 돌아왔다. 아름다운 글과 그림은 무심코 지나치던 식물과 좋은 친구가 되는 그 첫 만남을 선물해 줄 것이다. 광합성, 씨앗, 뿌리 등 식물에 대한 기본 지식을 안도현만의 시적 언어로 전한다."
먹고놀고 즐기는 열두달 기념일,전미경,"성장, 가족·우정","그림으로 만나는 열두 달 기념일이다. 한 해의 시작, 새해 해맞이를 보는 순간부터 마지막 날 제야의 종을 울리는 모습까지 사계절, 열두 달의 모습을 계절감이 드러나는 알록달록하고도 아기자기한 예쁜 그림으로 만나자. 계절에 맞게 달력 속 특별한 날에 맞게 어린이가 먹고 마시고 놀면서 그날의 의미를 몸소 되새길 수 있도록 했다."
멸종 동물 소원 카드 배달 왔어요,윤은미,"과학·자연, 사회·정의","이 책은 멋진 날개를 가진 독수리, 우리나라에서만 사는 금개구리, 여름 논에서 흔히 볼 수 있었던 뜸부기 등 우리 주변에서 살았거나 사는 18종의 친근한 멸종 위기 야생 동물의 개성 있는 생활사와 멸종 이유를 흥미롭고 재치 있는 그림으로 구성하고 소원 카드 형식으로 꾸몄다. 이 책을 통해 사람과 동물이 평화롭게 살아갈 방법을 자연스럽게 알게 된다."
모과,김보일,"예술, 성장","아이는 아빠와 캐치볼을 하다 우연히 모과를 발견한다. 시간이 지날수록 모과의 향과 아름다움에 빠져들게 된다. 모과나무에서 모과가 익어 가는 모습을 바라보며, 아이도 자연과 함께 자라난다. 향긋한 모과 향이 은은히 배어 나는 그림책을 보면서 소중했던 시간을 떠올려 보자."
모든 가족은 특별해요,로라 앙리-알란 MBE,"가족·우정, 과학·자연","우리 주변에는 다양한 형태의 가족이 많이 있다. 엄마 아빠와 사는 아이도 있지만 한 부모 가족, 조부모 가족, 또 친척과 사는 가족, 입양 가족 등 다양한 형태의 가족을 아이들은 일상에서 자연스레 만나곤 한다. 가족의 형태에 대해 선입관이나 편견 없이 대할 수 있도록 아이와 엄마 아빠가 함께 보며 이야기 나눌 수 있는 그림책이다."
몬스터 해결사 덤불 백작 1,김하연,"상상력, 가족·우정",사람과 몬스터가 함께 사는 몬스먼 마을에서 희한한 일이 생기면 어김없이 나타나는 ‘오지라퍼’ 해결사 덤불 백작! 핼러윈 축제를 앞두고 ‘달콤 캔디’ 가게에 누군가 침입하는 사건이 발생합니다. 사탕을 사 먹은 아이들이 지독한 콧물과 재채기에 시달리기 시작하지요. 과연 덤불 백작이 해결할 수 있을까요? 몬스터 해결사 덤불 백작의 첫 번째 모험 속으로 출발!
못 말리는 친구 사건,정은정,"가족·우정, 성장","새민이가 운동으로 팔 힘을 키우는 사건, 전학 온 승욱이가 길에서 기찬이를 만나 어울리게 된 사건, 단짝인 민찬이와 우진이가 사소한 문제로 다툰 사건, 친구들에게 따돌림당하는 도미 사건 등 우리 반에서 일어난 네 가지 친구 문제를 담은 동화집이다. 다양한 친구 관계에서 싸우고, 화해하고, 우정을 느끼고, 성장하는 아이들 모습을 그렸다."
무궁화꽃이 피었습니다,현단,"가족·우정, 공감·다양성, 과학·자연",앞을 보지 못하는 친구와 어떻게 '무궁화꽃이 피었습니다!' 놀이를 할까? 누구에게나 장애는 존중받아야할 개성일 뿐임을 일깨워주는 그림책. 재미있고 신선하고 지혜롭다.
무민 골짜기와 무민의 첫 겨울,토베 얀손,"성장, 철학","추운 겨울밤, 가족들 모두 겨울잠을 자는데 무민 혼자 깨어났어요. 무민은 다시 잠들 수가 없는데, 가족들은 아무도 일어나지 않아요. 세상에 혼자 남겨진 것 같아 외롭고 무섭지만, 새하얀 눈에 뒤덮인 무민 골짜기는 처음이에요! 엄청난 추위를 몰고 오는 얼음 여왕, 매서운 눈보라, 눈으로 만든 말, 낯선 손님들까지 무민은 처음 만나는 겨울을 좋아하게 될까요?"
무엇이든 던져 드립니다,황지영,"가족·우정, 용기·리더십, 성장","친구가 없어 외롭던 톨이가 뜻밖의 재능을 발견하게 되면서 펼쳐지는 이야기예요. 도토리부터 꽃병, 시계, 접시 등 무엇 하나 놓치지 않고 던졌다 받는 능력자 톨이, 다른 동물들에게 다가가고 싶지만 용기가 없어 망설이던 톨이에게 과연 무슨 일이 벌어진 걸까요? 무엇이든 던졌다 받는 톨이와 함께 외로운 마음을 통쾌하게 날려 보내요!"
무지개 윙크,구옥순,"성장, 용기·리더십, 공감·다양성",밝고 따뜻한 동심의 세계를 노래한 57편의 따뜻한 동시들. 힘들고 어려운 일이 있어도 지치지 않고 포기하지 말라는 따뜻한 응원과 위로와 함께 용기를 북돋아주는 동시집.
문어 뼈는 0개,앤 리처드슨,"과학·자연, 가족·우정","세상을 향한 호기심에 숫자로 대답해 주는 책. 0부터 90억까지 이르는 방대한 범위는 생각의 지평을 확장시켜 준다. 0이나 거듭제곱은 다소 어려운 개념이지만, 가까운 일상에서 연관된 사례를 가져와 친근하게 설명한다. ‘아보카도 씨 한 개’, ‘수심 4,000미터’ 처럼 단위가 다른 여러 대상을 세며 단위 명사도 자연스럽게 배울 수 있다."
문해 쑥쑥 1 초등학교 저학년 어휘편 : 우리말 바로쓰기,(사)한국문예원언어콘텐츠연구원,"성장, 예술","이 책을 통해 어휘와 문장의 정확한 의미와 쓰임을 익히고, 스스로 능숙하게 활용하면서 문해력을 탄탄하게 다질 수 있습니다. 초등학교 시기는 평생에 사용할 기본 어휘를 배우는 시기입니다. 책을 읽고, 듣고, 말하고, 글을 쓰면서 수많은 어휘를 만나게 되는데 이때 반듯하게 잡아놓은 문해력 기초가 평생의 학습과 의사소통에 큰 힘을 실어 줄 것입니다."
